"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","postal.code","distance_km","started_hour","time_block","day_of_week","weekend_or_weekday"
"74",431,2022-01-01 00:34:17.955,2022-01-01 00:41:29.106,386,"Sennott Park Broadway at Norfolk Street",42.368605242482,-71.0993018560566,318,"Ames St at Broadway",42.3636929,-71.0875672,5807,"Subscriber","02139",1.10931060662217,0,"Night","Saturday","Weekend"
"75",692,2022-01-01 00:34:18.071,2022-01-01 00:45:50.705,374,"Tremont St at Hamilton Pl",42.3566833496993,-71.0616664588451,72,"One Broadway / Kendall Sq at Main St / 3rd St",42.3622417865092,-71.0831107199192,3261,"Subscriber","02142",1.86933024458774,0,"Night","Saturday","Weekend"
"76",510,2022-01-01 00:34:19.485,2022-01-01 00:42:49.529,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,139,"Dana Park",42.361780439606,-71.1080995202065,6903,"Subscriber","02215",1.29241217714942,0,"Night","Saturday","Weekend"
"77",503,2022-01-01 00:34:25.574,2022-01-01 00:42:48.83,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,139,"Dana Park",42.361780439606,-71.1080995202065,6156,"Subscriber","02132",1.29241217714942,0,"Night","Saturday","Weekend"
"78",468,2022-01-01 00:34:35.121,2022-01-01 00:42:23.523,345,"Park Plaza at Charles St S.",42.3518280689207,-71.0678113811173,345,"Park Plaza at Charles St S.",42.3518280689207,-71.0678113811173,5921,"Customer","06066",0,0,"Night","Saturday","Weekend"
"79",462,2022-01-01 00:34:38.631,2022-01-01 00:42:21.607,345,"Park Plaza at Charles St S.",42.3518280689207,-71.0678113811173,345,"Park Plaza at Charles St S.",42.3518280689207,-71.0678113811173,6838,"Customer","06066",0,0,"Night","Saturday","Weekend"
"80",738,2022-01-01 00:36:04.291,2022-01-01 00:48:22.661,39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,4394,"Subscriber","02215",1.21393653514713,0,"Night","Saturday","Weekend"
"81",403,2022-01-01 00:36:09.304,2022-01-01 00:42:52.504,233,"St Mary's",42.3461970765555,-71.1072868108749,403,"Marion St at Harvard St",42.3401224269664,-71.1207056381045,6754,"Subscriber","02446",1.294715959043,0,"Night","Saturday","Weekend"
"82",2616,2022-01-01 00:36:44.271,2022-01-01 01:20:20.821,437,"Berkshire Street at Cambridge Street",42.372076579154,-71.0899543390587,177,"University Park",42.362647791186,-71.1000609397888,7385,"Subscriber","02141",1.33889367665794,0,"Night","Saturday","Weekend"
"83",367,2022-01-01 00:37:25.612,2022-01-01 00:43:33.141,328,"Grove St at Community Path",42.396386809455,-71.1201130600602,487,"Community Path at Lowell St",42.392525,-71.105587,7023,"Subscriber","02145",1.26923329765178,0,"Night","Saturday","Weekend"
"84",606,2022-01-01 00:37:41.212,2022-01-01 00:47:47.338,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,55,"Boylston St at Massachusetts Ave",42.3474062052521,-71.0867841495565,2643,"Subscriber","02032",1.30212384968275,0,"Night","Saturday","Weekend"
"85",258,2022-01-01 00:37:56.788,2022-01-01 00:42:15.338,487,"Community Path at Lowell St",42.392525,-71.105587,328,"Grove St at Community Path",42.396386809455,-71.1201130600602,6698,"Subscriber","02143",1.26923329765178,0,"Night","Saturday","Weekend"
"86",1114,2022-01-01 00:38:04.983,2022-01-01 00:56:39.36,40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,374,"Tremont St at Hamilton Pl",42.3566833496993,-71.0616664588451,4779,"Subscriber","02110",1.19493204449825,0,"Night","Saturday","Weekend"
"87",1099,2022-01-01 00:38:16.961,2022-01-01 00:56:36.269,40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,374,"Tremont St at Hamilton Pl",42.3566833496993,-71.0616664588451,3543,"Subscriber","02110",1.19493204449825,0,"Night","Saturday","Weekend"
